
2023/08/31 (12:59:35) | INFO: Logger set to DEBUG
2023/08/31 (12:59:35) | DEBUG: Using locale en_US.UTF-8
2023/08/31 (12:59:35) | INFO: Running on /dev/pts/2

2023/08/31 (13:40:50) | ===> btop++ v.1.2.13
2023/08/31 (13:40:50) | INFO: Logger set to DEBUG
2023/08/31 (13:40:50) | DEBUG: Using locale en_US.UTF-8
2023/08/31 (13:40:50) | INFO: Running on /dev/pts/3

2023/09/01 (23:46:33) | ===> btop++ v.1.2.13
2023/09/01 (23:46:33) | INFO: Logger set to DEBUG
2023/09/01 (23:46:33) | DEBUG: Using locale en_US.UTF-8
2023/09/01 (23:46:33) | INFO: Running on /dev/pts/2
